
約定履歴

商品指定,約定開始年月日,約定終了年月日
"米国株式","2019年05月17日","2020年10月19日"

国内約定日,銘柄名,銘柄コード,市場,商品区分,注文種別,取引,預り区分,約定数量,約定単価,国内受渡日,受渡金額
"2019/07/30","ロク","ROKU","NASDAQ","米国株式","成行","買付","特定預り","1","110.5500USD","2019/08/01","12,121円"
"2019/10/17","モンゴDB","MDB","NASDAQ","米国株式","指値","買付","特定預り","1","123.0000USD","2019/10/21","13,469円"
"2019/10/21","オクタ A","OKTA","NASDAQ","米国株式","指値","買付","特定預り","1","100.0000USD","2019/10/24","10,927円"
"2019/10/21","オクタ A","OKTA","NASDAQ","米国株式","指値","買付","特定預り","1","104.5100USD","2019/10/24","11,419円"
"2019/11/08","ロク","ROKU","NASDAQ","米国株式","指値","買付","特定預り","2","117.0000USD","2019/11/12","25,759円"
"2019/12/09","オクタ A","OKTA","NASDAQ","米国株式","成行","買付","特定預り","1","119.2300USD","2019/12/11","13,044円"
"2019/12/16","クラウド ストライク ホールディングス A","CRWD","NASDAQ","米国株式","成行","買付","特定預り","10","48.1400USD","2019/12/18","53,045円"
"2020/01/14","ビヨンド ミート","BYND","NASDAQ","米国株式","成行","買付","特定預り","1","99.7700USD","2020/01/16","11,068円"
"2020/01/28","ロク","ROKU","NASDAQ","米国株式","成行","買付","特定預り","2","125.5300USD","2020/01/30","27,540円"
"2020/01/31","モンゴDB","MDB","NASDAQ","米国株式","指値","売却","特定預り","1","164.0000USD","2020/02/04","163.19USD"
"2020/02/19","イノビオ ファーマシューティカルズ","INO","NASDAQ","米国株式","成行","買付","特定預り","25","4.5000USD","2020/02/21","113.05USD"
"2020/02/28","モデルナ","MRNA","NASDAQ","米国株式","成行","買付","特定預り","1","33.3400USD","2020/03/03","33.5USD"
"2020/02/28","モデルナ","MRNA","NASDAQ","米国株式","成行","買付","特定預り","4","32.6400USD","2020/03/03","14,404円"
"2020/03/05","イノビオ ファーマシューティカルズ","INO","NASDAQ","米国株式","成行","売却","特定預り","25","9.0500USD","2020/03/09","225.14USD"
"2020/03/05","モデルナ","MRNA","NASDAQ","米国株式","指値","売却","特定預り","5","28.5000USD","2020/03/09","141.8USD"
"2020/04/07","ロク","ROKU","NASDAQ","米国株式","成行","売却","特定預り","5","89.0400USD","2020/04/09","443USD"
"2020/04/07","ビヨンド ミート","BYND","NASDAQ","米国株式","成行","売却","特定預り","1","65.4900USD","2020/04/09","65.17USD"
"2020/04/07","クラウド ストライク ホールディングス A","CRWD","NASDAQ","米国株式","成行","売却","特定預り","10","59.5600USD","2020/04/09","592.66USD"
"2020/04/07","オクタ A","OKTA","NASDAQ","米国株式","成行","売却","特定預り","3","126.2200USD","2020/04/09","376.79USD"
"2020/05/19","エマージェント バイオソリューションズ","EBS","NYSE","米国株式","成行","買付","特定預り","18","89.1700USD","2020/05/21","1,613USD"
"2020/06/08","ズームインフォ テクノロジーズ A","ZI","NASDAQ","米国株式","成行","買付","特定預り","6","36.4700USD","2020/06/10","219.9USD"
"2020/06/09","ズームインフォ テクノロジーズ A","ZI","NASDAQ","米国株式","成行","買付","特定預り","40","44.4100USD","2020/06/11","193,264円"
"2020/07/27","モデルナ","MRNA","NASDAQ","米国株式","成行","買付","特定預り","10","82.0400USD","2020/07/29","87,449円"
"2020/07/27","モデルナ","MRNA","NASDAQ","米国株式","成行","買付","特定預り","5","71.3800USD","2020/07/29","38,042円"
"2020/08/12","ズームインフォ テクノロジーズ A","ZI","NASDAQ","米国株式","成行","買付","特定預り","6","37.7500USD","2020/08/14","24,306円"
"2020/10/01","パランティア テクノロジーズ A","PLTR","NYSE","米国株式","成行","買付","特定預り","30","10.9800USD","2020/10/05","35,012円"
"2020/10/02","パランティア テクノロジーズ A","PLTR","NYSE","米国株式","成行","売却","特定預り","15","9.7000USD","2020/10/06","144.78USD"
"2020/10/14","エマージェント バイオソリューションズ","EBS","NYSE","米国株式","成行","売却","特定預り","18","97.8600USD","2020/10/16","1,752.77USD"
